image,n_pred,n_gt,matched,unmatched_pred,unmatched_gt,terminal_pair_precision,terminal_pair_recall,terminal_pair_f1,net_f1,per_component_connected_acc,per_component_recall_acc,nged,strict_success,spice_valid,solvable_before,solvable_after,num_assumptions,num_gauge
circuit_1013.jpg,6,6,6,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1,1,1,2,1
circuit_1022.jpg,8,8,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1,1,1,2,2
circuit_1025.jpg,8,8,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1,1,1,2,2
circuit_1028.jpg,14,14,14,0,0,0.43529411764705883,0.9024390243902439,0.5873015873015872,0.7407407407407407,0.2857142857142857,0.6428571428571429,0.3333333333333333,False,1,0,0,3,2
circuit_1045.jpg,7,7,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,1,1,1,2,1
circuit_1048.jpg,24,24,24,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,True,1,1,1,2,1
circuit_1052.jpg,7,7,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.24,True,1,1,1,2,2
circuit_1059.jpg,14,14,13,1,1,0.3717948717948718,0.6444444444444445,0.47154471544715454,0.6296296296296297,0.0,0.0,0.27956989247311825,False,1,0,0,3,2
circuit_1080.jpg,17,16,16,1,0,0.8958333333333334,1.0,0.945054945054945,0.9722222222222222,0.75,1.0,0.3023255813953488,False,1,0,0,2,0
circuit_1095.jpg,19,19,19,0,0,1.0,0.8260869565217391,0.9047619047619047,0.9444444444444444,0.5789473684210527,0.5789473684210527,0.10077519379844961,False,1,0,1,3,2
circuit_1103.jpg,5,5,5,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,True,1,1,1,2,1
circuit_115.jpg,10,10,10,0,0,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8421052631578947,0.6,0.6,0.15492957746478872,False,1,1,1,3,1
circuit_1150.jpg,8,7,7,1,0,0.7857142857142857,1.0,0.88,0.962962962962963,0.5714285714285714,1.0,0.11538461538461539,False,1,1,1,2,2
circuit_1156.jpg,19,19,19,0,0,0.9298245614035088,0.7681159420289855,0.8412698412698412,0.9166666666666666,0.42105263157894735,0.42105263157894735,0.10077519379844961,False,1,0,1,3,2
circuit_1175.jpg,29,30,29,0,1,0.9436619718309859,0.7976190476190477,0.8645161290322582,0.9322033898305084,0.5333333333333333,0.5333333333333333,0.33640552995391704,False,1,1,1,1,1
circuit_118.jpg,23,23,23,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,True,1,1,1,2,1
